Date,Close/Last,Volume,Open,High,Low
2025-06-20,322,108688000,328,332,318
2025-06-18,322,95137690,317,329,315
2025-06-17,316,88282670,326,327,315
2025-06-16,329,83925860,331,332,326
2025-06-13,325,128964300,314,333,313
2025-06-12,319,105127500,323,333,317
2025-06-11,326,122611400,334,336,323
2025-06-10,326,151256500,315,328,311
2025-06-09,309,140908900,286,310,282
2025-06-06,295,164747700,299,306,291
2025-06-05,285,292818700,322,325,273
2025-06-04,332,98912080,345,346,327
2025-06-03,344,99324540,347,355,343
2025-06-02,343,81873830,344,348,333
2025-05-30,346,123474900,356,364,345
2025-05-29,358,88545670,365,368,356
2025-05-28,357,91404310,365,365,356
2025-05-27,363,120146400,347,364,347
2025-05-23,339,84654820,338,343,333
2025-05-22,341,97113420,332,347,331
2025-05-21,335,102354800,344,347,332
2025-05-20,344,131715500,348,355,342
2025-05-19,342,88869850,336,343,333
2025-05-16,350,95895670,346,352,342
2025-05-15,343,97882600,340,346,335
2025-05-14,348,136997300,343,350,337
2025-05-13,334,136992600,320,338,317
2025-05-12,318,112826700,322,322,312
2025-05-09,298,132387800,290,307,290
2025-05-08,285,97539450,280,290,279
2025-05-07,276,71882410,277,278,271
2025-05-06,275,76715790,273,278,271
2025-05-05,280,94618880,285,285,274
2025-05-02,287,114454700,285,295,280
2025-05-01,281,99658970,280,291,280
2025-04-30,282,128961100,280,284,271
2025-04-29,292,108906600,286,293,279
2025-04-28,286,151731800,289,295,272
2025-04-25,285,167560700,262,287,260
2025-04-24,260,94464200,251,260,249
2025-04-23,251,150381900,255,259,244
2025-04-22,238,120858500,231,243,230
2025-04-21,228,97768010,230,232,223
2025-04-17,241,83404780,243,244,238
2025-04-16,242,112378700,248,252,234
2025-04-15,254,79594320,250,259,248
2025-04-14,252,100135200,258,262,246
2025-04-11,252,128948100,252,258,241
2025-04-10,252,181722600,260,262,239
2025-04-09,272,219433400,225,275,224
2025-04-08,222,171603500,245,250,218
2025-04-07,233,183453800,224,252,214
2025-04-04,239,181229400,255,261,236
2025-04-03,267,136174300,265,276,262
2025-04-02,283,212787800,255,285,251
2025-04-01,268,146486900,264,277,259
2025-03-31,259,134008900,249,261,243
2025-03-28,264,123809400,276,276,261
2025-03-27,273,162572100,272,292,272
2025-03-26,272,156254400,283,285,267
2025-03-25,288,150361500,284,288,271
2025-03-24,278,169079900,258,279,256
2025-03-21,249,132728700,235,250,235
2025-03-20,236,99028270,233,238,230
2025-03-19,236,111993800,232,241,229
2025-03-18,225,111477600,228,230,222
2025-03-17,238,111900600,245,245,233
2025-03-14,250,100242300,247,252,241
2025-03-13,241,114813500,248,248,233
2025-03-12,248,142215700,247,252,241
2025-03-11,231,174896400,225,237,217
2025-03-10,222,189076900,253,253,220
2025-03-07,263,102369600,259,266,251
2025-03-06,263,98451570,272,273,260
2025-03-05,279,94042910,273,280,268
2025-03-04,272,126706600,271,284,262
2025-03-03,285,115551400,300,304,277
2025-02-28,293,115697000,280,294,274
2025-02-27,282,101748200,291,297,281
2025-02-26,291,100118300,304,309,288
2025-02-25,303,134228800,327,329,297
2025-02-24,331,76052320,338,342,325
2025-02-21,338,74058650,353,355,334
2025-02-20,354,45965350,362,362,348
2025-02-19,361,67094370,354,367,354
2025-02-18,354,51631700,355,359,350
2025-02-14,356,68277280,361,362,348
2025-02-13,356,89441520,345,359,343
2025-02-12,337,105382700,330,346,329
2025-02-11,329,118543400,346,349,325
2025-02-10,351,77514900,356,363,351
2025-02-07,362,70298260,370,381,360
2025-02-06,374,77918230,373,375,363
2025-02-05,378,57614720,388,388,376
2025-02-04,392,57072240,383,394,381
2025-02-03,384,93732120,387,389,374
2025-01-31,405,83568220,402,420,401
2025-01-30,400,98092880,411,413,384
2025-01-29,389,68033650,395,399,384
2025-01-28,398,48910680,397,401,387
2025-01-27,397,58125510,395,407,389
2025-01-24,407,56427150,414,419,406
2025-01-23,412,50690590,416,421,409
2025-01-22,415,60963340,417,428,415
2025-01-21,424,87320890,433,433,406
2025-01-17,427,94991430,422,440,420
2025-01-16,414,68335150,423,424,409
2025-01-15,428,81375460,410,430,406
2025-01-14,396,84565020,414,423,395
2025-01-13,403,67580490,383,404,380
2025-01-10,395,62287330,391,399,377
2025-01-08,395,73038810,393,402,387
2025-01-07,394,75699530,406,414,390
2025-01-06,411,85516530,423,426,402
2025-01-03,410,95423330,381,412,379
2025-01-02,379,109710700,390,393,373
2024-12-31,404,76825120,424,428,403
2024-12-30,417,64941010,419,427,416
